asin,shopify_handle,verdict,reason,drop_review_snippets
B07JJQVS3J,universal-3-stainless-steel-hitch-step-for-2-receivers-chrome,KEEP,"Universal 2"" receiver hitch step, chrome; part type/finish match Amazon listing; reviews are generic fit/quality, no vehicle contradiction.",
B084SNMBLC,07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black,KEEP,"Glossy/matte black mesh grille matches Tahoe/Suburban/Avalanche 07-14 fitment; reviews (08 Z71 truck 2008 Suburban 09 Suburban 12 Avalanche) all fall within coverage.",
B08SQCK982,2004-2008-ford-f-150-horizontal-front-grille-matte-black,KEEP,"Exact title/finish/year match; review is 2008 F-150 Lariat, within range.",
B08SQD2KLX,2007-2014-cadillac-escalade-front-grille-chrome-mesh-style,KEEP,"Exact match incl. Escalade EXT; reviews (07 Escalade, 08 ESV) within fitment.",
B077KGJCL4,1997-2004-dodge-dakota-durango-front-grille-black,KEEP,"Exact match; fitment JSON covers Dakota 97-04 + Durango 98-03; reviews generic, no mismatch.",
B07LC278G3,2000-2005-cadillac-deville-mesh-front-grille-chrome,KEEP,"Exact match; review vehicle (04 DeVille) in range.",
B07LC35F8M,02-05-dodge-ram-1500-2500-3500-front-grille-chrome,KEEP,"Exact match; reviews generic, no mismatch.",
B08SQHT533,2007-2009-toyota-tundra-mesh-front-grille-black,KEEP,"Exact match; grille is not cab-gated, regular-cab review acceptable.",
B08SQNR582,2005-2007-dodge-dakota-front-grille-matte-black-mesh-style,KEEP,"Exact match; review (06 Dakota) in range.",
B09VKCN73P,02-05-dodge-ram-crystal-headlights-w-led-light-bar-chrome,KEEP,"Exact match; reviews (03/04/05 Ram) all in range.",
B09VN8DD7Y,06-09-dodge-ram-black-crystal-headlights-sequential-led-turn-signal,KEEP,"Match; reviewer's 06 Ram Mega Cab is a Ram 2500/3500 cab config already in the compatibility list, headlights are not cab-gated.",
B0B9FHB4WP,07-13-chevy-silverado-1500-led-crystal-headlights-sequential-signal,KEEP,"Fitment covers Silverado 1500 07-13 + 2500/3500 HD 07-14; reviews (2011/2012 Silverado 1500) in range.",
B0BNWQ3QS4,99-04-ford-mustang-crystal-headlights-sequential-led-signal-chrome,KEEP,"Exact match; one review clarifies these are DRL/turn-signal add-ons not full headlamp replacements — accurate product info, not a vehicle mismatch.",
B0CG2KS5DF,1999-2002-chevrolet-silverado-crystal-headlights-parking-lights-4pc-set-w-sequential-led-bar-black,KEEP,"Amazon covers Silverado 99-02 + Suburban/Tahoe 00-06 (broader than title, not narrower); reviews generic, no contradiction.",
B07Q9KF9K6,2013-2018-ram-1500-2019-2024-ram-1500-classic-big-horn-style-front-grille-chrome,KEEP,"Exact match; review (2015 Ram Big Horn) in range.",
B087LSCGZ8,2014-2018-chevy-silverado-gmc-sierra-6-5ft-hard-tri-fold-tonneau,KEEP,"Bed length (6.5ft) and years match Amazon/fitment; reviews (2014/2015 Silverado) don't claim wrong bed length.",
B087M33PN8,2019-chevy-silverado-gmc-sierra-5-8ft-hard-tri-fold-tonneau-cover,KEEP,"Bed length (5.8ft) matches; review (2020 Silverado) consistent, no bed-length contradiction.",
B08SQQYZ6Q,2002-2005-dodge-ram-rivet-style-mesh-front-grille-black-abs,KEEP,"Exact match; reviews generic.",
B08TGYDNJJ,universal-2-tube-3-steel-rear-hitch-step-black,KEEP,"Universal 2"" receiver product, not vehicle-gated; review mentioning a 2024 Tacoma receiver bolt-length issue is expected variance across universal receivers, not a wrong-product claim.",
B095W23DZQ,2008-2010-scion-xd-class-1-trailer-hitch-black-11491,KEEP,"Exact match; review (09 Scion xD) in range.",
B099DGKZ4K,2004-2024-nissan-titan-5-7-ft-rubber-truck-bed-mat-aa009-v2,KEEP,"Product is a 5.7ft Titan (standard, non-XD) bed mat. Two reviews claim perfect fit in a 'Titan XD' — Titan XD is not in this product's fitment list and has a longer bed than this 5.7ft mat is cut for, so those two reviews contradict fitment and should be dropped; remaining reviews (King Cab, standard Titan) are fine.","Fits in my Titan XD Perfect: Needed a mat to cover the bed of my truck || 2024 Nissan Titan XD Bed Liner: Fits perfect in a 2024 Nissan Titan XD."
B099DHTT18,1993-2011-ford-ranger-mazda-b-series-6-ft-bed-rubber-truck-bed-mat-lightweight-v2,KEEP,"Exact match; reviews generic Ranger fit.",
B099DW5XZS,1997-2004-ford-f-150-f-250-6-5-ft-bed-rubber-truck-bed-mat-v2,KEEP,"Bed length/year range match incl. F-150 Heritage and F-250 Light Duty; reviews (98 F-150, F-150 STX) consistent.",
B09SVZHBS9,2002-2005-dodge-ram-crystal-headlights-w-sequential-led-bar-black,KEEP,"Exact match; reviews (02/03 Ram) in range.",
B0BNWP13Q5,07-13-gmc-sierra-1500-2500-3500-chrome-crystal-led-headlights,KEEP,"Exact match; review (2012 GMC Sierra 2500 HD) in range.",
