action_category,why_held_back,what_to_verify_for_100pct_match,verdict_format_required,verdict_examples,amazon_asin,jl_sku,amazon_listing_title,review_id,star_rating_current,rating_inferred,verified_purchase,has_photo,helpful_votes,review_date,reviewer_name,review_title,review_body,current_mapped_handle,current_handle_source,pass8_team_status,pass8_team_proposed_handle,pass8_team_reasoning,VERDICT__PLEASE_FILL,team_notes
1. PRODUCT WRONG-MAPPED,Pass 8 audit confirmed our Shopify match is WRONG. Currently removed from prod.,"Verify the CORRECT Shopify product for this Amazon listing — all 9 dimensions must match: (1) vehicle make, (2) vehicle model, (3) year-range overlap (Shopify range must include Amazon's primary year), (4) cab type if applicable [Reg/Ext/Crew/Double/Quad/SuperCrew], (5) bed length if applicable [5.5/5.7/5.8/6.0/6.4/6.5/8.0 ft], (6) finish [matte/glossy black, chrome, textured, brushed, polished], (7) style [mesh/horizontal/vertical/OE/honeycomb/tri-fold/roll-up/hard/soft], (8) component scope [single vs combo, upper vs lower for grilles], (9) trim restriction if Amazon listing specifies. Use the review_body — reviewers usually state their vehicle.",CONFIRM:[handle]   OR   REMAP:[correct-handle]   OR   DROP:[reason],CONFIRM:2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black  |  REMAP:2007-2014-gmc-yukon-yukon-xl-front-grille-glossy-black  |  DROP:product line discontinued,B084SNMBLC,fggg-grzt-taho07-me-bk,Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With 07-13 Chevy Avalanche / 07-14 Tahoe Suburban,R2Y15USP6N9KT4,5,TRUE,TRUE,FALSE,10,,Inked,,Easy to install. Yes some cutting required for 2008 suburban like mine possibly the Tahoe as well. I didn’t cut all the way to the base. I actually just cut mid way so it could tuck behind the grille. I also carefully drilled two holes through two clips behind the grill and used 24” zip ties (to easily grab ahold of it) and zipped them to tighten the bottom of the grille. Love the way it looks thank you for such a fast shipment too.,07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black,our_prior_resolution,wrong_map_removed,,"impa06=Chevy Impala 2006; handle=Tahoe/Suburban/Avalanche 07-14. Wrong vehicle entirely — Impala is a sedan, Tahoe is a full-size SUV. Image filename collision between products. Remove from live.",,
1. PRODUCT WRONG-MAPPED,Pass 8 audit confirmed our Shopify match is WRONG. Currently removed from prod.,"Verify the CORRECT Shopify product for this Amazon listing — all 9 dimensions must match: (1) vehicle make, (2) vehicle model, (3) year-range overlap (Shopify range must include Amazon's primary year), (4) cab type if applicable [Reg/Ext/Crew/Double/Quad/SuperCrew], (5) bed length if applicable [5.5/5.7/5.8/6.0/6.4/6.5/8.0 ft], (6) finish [matte/glossy black, chrome, textured, brushed, polished], (7) style [mesh/horizontal/vertical/OE/honeycomb/tri-fold/roll-up/hard/soft], (8) component scope [single vs combo, upper vs lower for grilles], (9) trim restriction if Amazon listing specifies. Use the review_body — reviewers usually state their vehicle.",CONFIRM:[handle]   OR   REMAP:[correct-handle]   OR   DROP:[reason],CONFIRM:2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black  |  REMAP:2007-2014-gmc-yukon-yukon-xl-front-grille-glossy-black  |  DROP:product line discontinued,B084SNMBLC,fggg-grzt-taho07-me-bk,Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With 07-13 Chevy Avalanche / 07-14 Tahoe Suburban,R3H7LYU0NFFDFT,5,TRUE,TRUE,FALSE,5,,Sammie Green III,,"Just got it, pop off the old grill took me a minute to figure. But the product itself is sturdy. The bottom isn't secure to anything. But it's not flapping in the wind.",07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black,our_prior_resolution,wrong_map_removed,,"impa06=Chevy Impala 2006; handle=Tahoe/Suburban/Avalanche 07-14. Wrong vehicle entirely — Impala is a sedan, Tahoe is a full-size SUV. Image filename collision between products. Remove from live.",,
1. PRODUCT WRONG-MAPPED,Pass 8 audit confirmed our Shopify match is WRONG. Currently removed from prod.,"Verify the CORRECT Shopify product for this Amazon listing — all 9 dimensions must match: (1) vehicle make, (2) vehicle model, (3) year-range overlap (Shopify range must include Amazon's primary year), (4) cab type if applicable [Reg/Ext/Crew/Double/Quad/SuperCrew], (5) bed length if applicable [5.5/5.7/5.8/6.0/6.4/6.5/8.0 ft], (6) finish [matte/glossy black, chrome, textured, brushed, polished], (7) style [mesh/horizontal/vertical/OE/honeycomb/tri-fold/roll-up/hard/soft], (8) component scope [single vs combo, upper vs lower for grilles], (9) trim restriction if Amazon listing specifies. Use the review_body — reviewers usually state their vehicle.",CONFIRM:[handle]   OR   REMAP:[correct-handle]   OR   DROP:[reason],CONFIRM:2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black  |  REMAP:2007-2014-gmc-yukon-yukon-xl-front-grille-glossy-black  |  DROP:product line discontinued,B07JR9DQS5,sbhd-f15015cc-5-bk,"5"" Oval Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford F150 SuperCrew / 17-22 F250 F350 F450 F550 Superduty Crew Cab",R1LFMYNWO5WYM2,5,FALSE,TRUE,TRUE,3,2020-01-11,crazy dog robber,Not to good for driving in icy driving **Update**,"Arrived within the time given. Packaging was good. Everything was wrapped and packed well. Directions were a little vague but anybody who’s put together something from IKEA or worked trades should be able to figure it out. Gather the parts, match the pieces up. Loosely assemble pieces. Adjust and tighten nuts and bolts. There are two sets of three brackets. The front ones face foreward, the others face backwards. Took me longer than someone younger and no injuries. Held my 290lb frame without any issues. A little closer to the bottom of the cab than the stock ones I had on my F-250 but it’s no",2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,our_prior_resolution,wrong_map_removed,,sbhd-f15015cc-5-bk=F-150 2015 Crew Cab 5-inch oval black; handle=Super Duty 2017-22 crew cab 5-inch steel step bars. F-150 and Super Duty (F-250/F-350) are different trucks with different rocker geometry — same stem matched because sbhd-f15015cc is used in both product lines. Remove from live; correct handle should be 2015-2018-ford-f-150-f-250-super-crew-modular-step-bars-matte-black or a dedicat,,
1. PRODUCT WRONG-MAPPED,Pass 8 audit confirmed our Shopify match is WRONG. Currently removed from prod.,"Verify the CORRECT Shopify product for this Amazon listing — all 9 dimensions must match: (1) vehicle make, (2) vehicle model, (3) year-range overlap (Shopify range must include Amazon's primary year), (4) cab type if applicable [Reg/Ext/Crew/Double/Quad/SuperCrew], (5) bed length if applicable [5.5/5.7/5.8/6.0/6.4/6.5/8.0 ft], (6) finish [matte/glossy black, chrome, textured, brushed, polished], (7) style [mesh/horizontal/vertical/OE/honeycomb/tri-fold/roll-up/hard/soft], (8) component scope [single vs combo, upper vs lower for grilles], (9) trim restriction if Amazon listing specifies. Use the review_body — reviewers usually state their vehicle.",CONFIRM:[handle]   OR   REMAP:[correct-handle]   OR   DROP:[reason],CONFIRM:2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black  |  REMAP:2007-2014-gmc-yukon-yukon-xl-front-grille-glossy-black  |  DROP:product line discontinued,B07N9RCKXH,tbm-f15001-5-rb-gy,"Topline_autopart Black Rubber Diamond Plate Truck Bed Floor Mat Liner Compatible with 01-03 Ford F150 5.5 Feet (66"") Short Bed",R12P0PKKTPYOSL,5,FALSE,TRUE,TRUE,1,2021-04-12,T. Gibson,Mat fit perfectly on my 2003 F-150 Short Bed,"I liked that the mat laid flat right out of the shipping box. It took less than 3 minutes to install and fit like a glove! I don't usually write reviews, but I was very impressed that there are still companies that ensure the quality of their product meets or exceeds customer satisfaction. Keep up the good work and will be telling my friends about their product line.",2001-2003-ford-f-150-styleside-5-5-bed-pvc-truck-bed-mat-black,our_prior_resolution,wrong_map_removed,,"tbm=truck bed mat, f15001=F150 2001, 5=5.5ft, rb=rubber, gy=grey. Amazon title says Black Rubber; handle=black PVC bed mat. Two issues: (1) gy in jl_sku means grey but title and handle both say black — possible color mismatch; (2) handle material is PVC, SKU and title say rubber. Material/color discrepancy on a bed mat is a return trigger. Pull and verify product identity before re-linking.",,
1. PRODUCT WRONG-MAPPED,Pass 8 audit confirmed our Shopify match is WRONG. Currently removed from prod.,"Verify the CORRECT Shopify product for this Amazon listing — all 9 dimensions must match: (1) vehicle make, (2) vehicle model, (3) year-range overlap (Shopify range must include Amazon's primary year), (4) cab type if applicable [Reg/Ext/Crew/Double/Quad/SuperCrew], (5) bed length if applicable [5.5/5.7/5.8/6.0/6.4/6.5/8.0 ft], (6) finish [matte/glossy black, chrome, textured, brushed, polished], (7) style [mesh/horizontal/vertical/OE/honeycomb/tri-fold/roll-up/hard/soft], (8) component scope [single vs combo, upper vs lower for grilles], (9) trim restriction if Amazon listing specifies. Use the review_body — reviewers usually state their vehicle.",CONFIRM:[handle]   OR   REMAP:[correct-handle]   OR   DROP:[reason],CONFIRM:2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black  |  REMAP:2007-2014-gmc-yukon-yukon-xl-front-grille-glossy-black  |  DROP:product line discontinued,B084SNMBLC,fggg-grzt-taho07-me-bk,Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With 07-13 Chevy Avalanche / 07-14 Tahoe Suburban,R7KBIUU707OI1,5,TRUE,TRUE,FALSE,1,2023-11-08,Luis,,"Easy to Install, make my suv look more cooler",07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black,our_prior_resolution,wrong_map_removed,,"impa06=Chevy Impala 2006; handle=Tahoe/Suburban/Avalanche 07-14. Wrong vehicle entirely — Impala is a sedan, Tahoe is a full-size SUV. Image filename collision between products. Remove from live.",,
1. PRODUCT WRONG-MAPPED,Pass 8 audit confirmed our Shopify match is WRONG. Currently removed from prod.,"Verify the CORRECT Shopify product for this Amazon listing — all 9 dimensions must match: (1) vehicle make, (2) vehicle model, (3) year-range overlap (Shopify range must include Amazon's primary year), (4) cab type if applicable [Reg/Ext/Crew/Double/Quad/SuperCrew], (5) bed length if applicable [5.5/5.7/5.8/6.0/6.4/6.5/8.0 ft], (6) finish [matte/glossy black, chrome, textured, brushed, polished], (7) style [mesh/horizontal/vertical/OE/honeycomb/tri-fold/roll-up/hard/soft], (8) component scope [single vs combo, upper vs lower for grilles], (9) trim restriction if Amazon listing specifies. Use the review_body — reviewers usually state their vehicle.",CONFIRM:[handle]   OR   REMAP:[correct-handle]   OR   DROP:[reason],CONFIRM:2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black  |  REMAP:2007-2014-gmc-yukon-yukon-xl-front-grille-glossy-black  |  DROP:product line discontinued,B084SNMBLC,fggg-grzt-taho07-me-bk,Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With 07-13 Chevy Avalanche / 07-14 Tahoe Suburban,R37WK8S2U3NOUI,5,TRUE,TRUE,FALSE,0,,Jasmin,,This is my second grill other one I kind screw it up so bought another one did little customization on it but I love the look it adds and quality…Easy to install on my 2008 Z71 no cutting or trimming needed!!! Less then 5 mint install,07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black,our_prior_resolution,wrong_map_removed,,"impa06=Chevy Impala 2006; handle=Tahoe/Suburban/Avalanche 07-14. Wrong vehicle entirely — Impala is a sedan, Tahoe is a full-size SUV. Image filename collision between products. Remove from live.",,
1. PRODUCT WRONG-MAPPED,Pass 8 audit confirmed our Shopify match is WRONG. Currently removed from prod.,"Verify the CORRECT Shopify product for this Amazon listing — all 9 dimensions must match: (1) vehicle make, (2) vehicle model, (3) year-range overlap (Shopify range must include Amazon's primary year), (4) cab type if applicable [Reg/Ext/Crew/Double/Quad/SuperCrew], (5) bed length if applicable [5.5/5.7/5.8/6.0/6.4/6.5/8.0 ft], (6) finish [matte/glossy black, chrome, textured, brushed, polished], (7) style [mesh/horizontal/vertical/OE/honeycomb/tri-fold/roll-up/hard/soft], (8) component scope [single vs combo, upper vs lower for grilles], (9) trim restriction if Amazon listing specifies. Use the review_body — reviewers usually state their vehicle.",CONFIRM:[handle]   OR   REMAP:[correct-handle]   OR   DROP:[reason],CONFIRM:2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black  |  REMAP:2007-2014-gmc-yukon-yukon-xl-front-grille-glossy-black  |  DROP:product line discontinued,B084SNMBLC,fggg-grzt-taho07-me-bk,Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With 07-13 Chevy Avalanche / 07-14 Tahoe Suburban,R2IOHXHKUQ2VX8,5,TRUE,TRUE,FALSE,0,,YakOn30s,,Amazing product. Apparently not as easy to find these days. Looks GREAT on my 09 Suburban!,07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black,our_prior_resolution,wrong_map_removed,,"impa06=Chevy Impala 2006; handle=Tahoe/Suburban/Avalanche 07-14. Wrong vehicle entirely — Impala is a sedan, Tahoe is a full-size SUV. Image filename collision between products. Remove from live.",,
1. PRODUCT WRONG-MAPPED,Pass 8 audit confirmed our Shopify match is WRONG. Currently removed from prod.,"Verify the CORRECT Shopify product for this Amazon listing — all 9 dimensions must match: (1) vehicle make, (2) vehicle model, (3) year-range overlap (Shopify range must include Amazon's primary year), (4) cab type if applicable [Reg/Ext/Crew/Double/Quad/SuperCrew], (5) bed length if applicable [5.5/5.7/5.8/6.0/6.4/6.5/8.0 ft], (6) finish [matte/glossy black, chrome, textured, brushed, polished], (7) style [mesh/horizontal/vertical/OE/honeycomb/tri-fold/roll-up/hard/soft], (8) component scope [single vs combo, upper vs lower for grilles], (9) trim restriction if Amazon listing specifies. Use the review_body — reviewers usually state their vehicle.",CONFIRM:[handle]   OR   REMAP:[correct-handle]   OR   DROP:[reason],CONFIRM:2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black  |  REMAP:2007-2014-gmc-yukon-yukon-xl-front-grille-glossy-black  |  DROP:product line discontinued,B07PZFTRX9,rbjz-br-sil07-6p+rbjz-86-6-oe-mb,"6"" OE Style with Polymer Stripes Matte Black Aluminum Side Step Rail Running Boards jz Compatible with 07-18 Chevy Silverado/GMC Sierra Crew Cab",R2OF7YA08278AD,5,TRUE,TRUE,FALSE,0,,Robert Mata,,"Very easy to install once I watched a YouTube video since they did NOT come with install instructions for my 2018 Silverado crew cab. They do fit perfect and sit just under the cab as I wanted them too. The clip nuts that come with them to install do not fit correctly and I had to widen a couple of holes for them. Other than that all you need is a 1/2 socket, ratchet and extension.


Overall I would recommend them, especially for the price.",2019-2024-ram-1500-86-oe-style-aluminum-running-boards-matte-black,our_prior_resolution,wrong_map_removed,,sil07=Silverado 2007; handle=Ram 1500 2019-24. Wrong vehicle entirely — Silverado and Ram are different makes. Image filename from the rbjz-86-6-oe-mb universal component matched Ram handle. Remove from live.,,
1. PRODUCT WRONG-MAPPED,Pass 8 audit confirmed our Shopify match is WRONG. Currently removed from prod.,"Verify the CORRECT Shopify product for this Amazon listing — all 9 dimensions must match: (1) vehicle make, (2) vehicle model, (3) year-range overlap (Shopify range must include Amazon's primary year), (4) cab type if applicable [Reg/Ext/Crew/Double/Quad/SuperCrew], (5) bed length if applicable [5.5/5.7/5.8/6.0/6.4/6.5/8.0 ft], (6) finish [matte/glossy black, chrome, textured, brushed, polished], (7) style [mesh/horizontal/vertical/OE/honeycomb/tri-fold/roll-up/hard/soft], (8) component scope [single vs combo, upper vs lower for grilles], (9) trim restriction if Amazon listing specifies. Use the review_body — reviewers usually state their vehicle.",CONFIRM:[handle]   OR   REMAP:[correct-handle]   OR   DROP:[reason],CONFIRM:2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black  |  REMAP:2007-2014-gmc-yukon-yukon-xl-front-grille-glossy-black  |  DROP:product line discontinued,B07L8V34FL,fg-grzd-dnl07-bk+fg-grbd-dnl07lower-bk,Glossy Black Round Hole Mesh Front Upper Hood Grill + Lower Bumper Grille Guard ABS Compatible With 07-14 GMC Yukon/XL/Denali,R24K48EBLNDGZ1,5,TRUE,TRUE,FALSE,0,,Dave,,"Fit perfectly on my 2007 Yukon and looks amazing. Only issue was the lower grille, was a very tight fit other than that, worth it all the way.",2007-2014-gmc-yukon-yukon-xl-front-grille-matte-black,our_prior_resolution,wrong_map_removed,,combo=Yukon/Denali 2007 upper+lower glossy black; handle=07-14 GMC Yukon matte black. Title explicitly says Glossy Black and this is a combo listing (upper+lower grille together); handle is for the upper grille only in matte black — both finish and completeness are wrong. Remove from live.,,
1. PRODUCT WRONG-MAPPED,Pass 8 audit confirmed our Shopify match is WRONG. Currently removed from prod.,"Verify the CORRECT Shopify product for this Amazon listing — all 9 dimensions must match: (1) vehicle make, (2) vehicle model, (3) year-range overlap (Shopify range must include Amazon's primary year), (4) cab type if applicable [Reg/Ext/Crew/Double/Quad/SuperCrew], (5) bed length if applicable [5.5/5.7/5.8/6.0/6.4/6.5/8.0 ft], (6) finish [matte/glossy black, chrome, textured, brushed, polished], (7) style [mesh/horizontal/vertical/OE/honeycomb/tri-fold/roll-up/hard/soft], (8) component scope [single vs combo, upper vs lower for grilles], (9) trim restriction if Amazon listing specifies. Use the review_body — reviewers usually state their vehicle.",CONFIRM:[handle]   OR   REMAP:[correct-handle]   OR   DROP:[reason],CONFIRM:2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black  |  REMAP:2007-2014-gmc-yukon-yukon-xl-front-grille-glossy-black  |  DROP:product line discontinued,B07PZFTRX9,rbjz-br-sil07-6p+rbjz-86-6-oe-mb,"6"" OE Style with Polymer Stripes Matte Black Aluminum Side Step Rail Running Boards jz Compatible with 07-18 Chevy Silverado/GMC Sierra Crew Cab",R75C8BQON48N8,5,TRUE,TRUE,FALSE,0,2020-01-09,Angélique Macias,,Got these for my husband for Christmas.  Small issue with connection on the 3rd bracket but easily figured out a solution.  Hubby is very happy with them!!!,2019-2024-ram-1500-86-oe-style-aluminum-running-boards-matte-black,our_prior_resolution,wrong_map_removed,,sil07=Silverado 2007; handle=Ram 1500 2019-24. Wrong vehicle entirely — Silverado and Ram are different makes. Image filename from the rbjz-86-6-oe-mb universal component matched Ram handle. Remove from live.,,
